title,created,closed,,
fix : deleted extra space between section,1638113581,1638113593,2021-11-28T15:33:01Z,2021-11-28T15:33:13Z
fix : removing extra blank link between sections,1638112058,1638112073,2021-11-28T15:07:38Z,2021-11-28T15:07:53Z
fix(curriculum): added whitespace after MathJax tag,1638051168,1638163356,2021-11-27T22:12:48Z,2021-11-29T05:22:36Z
"Missing whitespace after a MathJax tag in ""Problem 331: Cross flips""",1638040800,1638163356,2021-11-27T19:20:00Z,2021-11-29T05:22:36Z
chore(deps): update dependency postcss to v8.4.4,1638029486,1638032306,2021-11-27T16:11:26Z,2021-11-27T16:58:26Z
fix : inconsistency problem(demo),1638005384,1638005397,2021-11-27T09:29:44Z,2021-11-27T09:29:57Z
chore(deps): update dependency postcss to v8.4.3,1637958227,1637967171,2021-11-26T20:23:47Z,2021-11-26T22:52:51Z
chore(deps): update storybook monorepo to v6.4.0,1637947793,1637958261,2021-11-26T17:29:53Z,2021-11-26T20:24:21Z
fixed bug with alt text being innacurate,1637942587,1637997911,2021-11-26T16:03:07Z,2021-11-27T07:25:11Z
docs: explain dynamic hints in more depth,1637917418,1637935583,2021-11-26T09:03:38Z,2021-11-26T14:06:23Z
second time,1637909436,1637910211,2021-11-26T06:50:36Z,2021-11-26T07:03:31Z
separated variable,1637863979,1637865843,2021-11-25T18:12:59Z,2021-11-25T18:44:03Z
chore(deps): update dependency webpack to v5.64.4,1637862645,1637866766,2021-11-25T17:50:45Z,2021-11-25T18:59:26Z
chore(deps): update dependency prettier to v2.5.0,1637853365,1637862671,2021-11-25T15:16:05Z,2021-11-25T17:51:11Z
fix(cirriculum): add better testcase for insert-an-element-into-a-max-heap challenge,1637851399,1637851527,2021-11-25T14:43:19Z,2021-11-25T14:45:27Z
"chore(i18n,docs): processed translations",1637841846,1638044313,2021-11-25T12:04:06Z,2021-11-27T20:18:33Z
feat: allow for dynamic hints,1637832118,1637853001,2021-11-25T09:21:58Z,2021-11-25T15:10:01Z
fix(deps): update dependency monaco-editor to v0.30.1,1637824372,1637825554,2021-11-25T07:12:52Z,2021-11-25T07:32:34Z
chore(deps): update codesee to v0.145.0,1637797015,1637817734,2021-11-24T23:36:55Z,2021-11-25T05:22:14Z
chore(deps): update dependency postcss to v8.4.1,1637796790,1637803139,2021-11-24T23:33:10Z,2021-11-25T01:18:59Z
fix(deps): update dependency @types/react to v17.0.37,1637790973,1637812132,2021-11-24T21:56:13Z,2021-11-25T03:48:52Z
fix(config): build all-langs.js before server,1637764000,1637838110,2021-11-24T14:26:40Z,2021-11-25T11:01:50Z
chore(deps): update dependency postcss to v8.4.0,1637762960,1637790998,2021-11-24T14:09:20Z,2021-11-24T21:56:38Z
"chore(i18n,curriculum): processed translations",1637758978,1637767775,2021-11-24T13:02:58Z,2021-11-24T15:29:35Z
chore(deps): update dependency webpack to v5.64.3,1637744210,1637773800,2021-11-24T08:56:50Z,2021-11-24T17:10:00Z
docs: update instructions,1637736074,1637775671,2021-11-24T06:41:14Z,2021-11-24T17:41:11Z
chore(deps): update codesee to v0.144.0,1637716358,1637720547,2021-11-24T01:12:38Z,2021-11-24T02:22:27Z
testing,1637700619,1637769488,2021-11-23T20:50:19Z,2021-11-24T15:58:08Z
fix(deps): update dependency @types/node to v16.11.10,1637698595,1637744217,2021-11-23T20:16:35Z,2021-11-24T08:56:57Z
fix(deps): update dependency sanitize-html to v2.6.0,1637694304,1637705943,2021-11-23T19:05:04Z,2021-11-23T22:19:03Z
